baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.61,0.76,0.76,0.75,0.7
0.62,0.77,0.77,0.76,0.7
0.61,0.76,0.76,0.74,0.69
0.6,0.74,0.74,0.73,0.7
0.61,0.76,0.75,0.74,0.7
0.6,0.74,0.74,0.73,0.69
0.61,0.76,0.75,0.74,0.69
0.6,0.74,0.73,0.72,0.69
0.6,0.74,0.73,0.72,0.68
0.6,0.74,0.74,0.73,0.69
0.61,0.76,0.75,0.75,0.7
0.61,0.76,0.75,0.75,0.7
0.61,0.76,0.75,0.74,0.7
0.6,0.74,0.74,0.73,0.7
0.59,0.72,0.72,0.71,0.7
0.6,0.74,0.73,0.72,0.7
0.6,0.74,0.73,0.72,0.69
0.59,0.72,0.71,0.7,0.69
0.59,0.72,0.71,0.7,0.69
0.59,0.72,0.71,0.7,0.7
0.58,0.71,0.7,0.7,0.69
0.57,0.69,0.69,0.68,0.69
0.58,0.71,0.7,0.7,0.7
0.58,0.71,0.7,0.7,0.7
0.57,0.69,0.69,0.68,0.7
0.57,0.69,0.69,0.68,0.71
0.58,0.71,0.71,0.71,0.72
0.57,0.69,0.7,0.69,0.72
0.56,0.67,0.69,0.68,0.72
0.56,0.67,0.68,0.67,0.71
0.57,0.69,0.7,0.68,0.71
0.57,0.69,0.7,0.69,0.71
0.58,0.71,0.72,0.7,0.71
0.57,0.69,0.69,0.68,0.7
0.58,0.71,0.7,0.69,0.71
0.58,0.71,0.71,0.69,0.71
0.57,0.69,0.7,0.68,0.7
0.57,0.69,0.7,0.68,0.7
0.57,0.69,0.71,0.69,0.7
0.56,0.67,0.69,0.67,0.69
0.55,0.66,0.67,0.65,0.68
0.55,0.66,0.67,0.65,0.69
0.56,0.67,0.69,0.67,0.69
0.55,0.66,0.68,0.65,0.68
0.55,0.66,0.68,0.65,0.68
0.55,0.66,0.66,0.65,0.68
0.54,0.64,0.65,0.64,0.68
0.54,0.64,0.66,0.65,0.69
0.54,0.64,0.66,0.64,0.69
0.54,0.64,0.66,0.64,0.69
0.54,0.64,0.67,0.64,0.69
0.55,0.66,0.67,0.65,0.69
0.55,0.66,0.68,0.66,0.69
0.55,0.66,0.68,0.66,0.69
0.55,0.66,0.68,0.66,0.69
0.56,0.67,0.69,0.67,0.69
0.56,0.67,0.69,0.67,0.68
0.57,0.69,0.7,0.69,0.69
0.58,0.71,0.73,0.71,0.69
0.58,0.71,0.71,0.7,0.69
0.59,0.72,0.72,0.71,0.69
0.59,0.72,0.71,0.7,0.69
0.58,0.71,0.69,0.69,0.68
0.58,0.71,0.69,0.68,0.68
0.57,0.69,0.68,0.67,0.68
0.56,0.67,0.66,0.66,0.68
0.55,0.66,0.65,0.65,0.67
0.54,0.64,0.64,0.63,0.67
0.55,0.66,0.65,0.65,0.67
0.56,0.67,0.66,0.66,0.68
0.55,0.66,0.65,0.65,0.68
0.54,0.64,0.64,0.64,0.67
0.55,0.66,0.65,0.65,0.67
0.55,0.66,0.64,0.64,0.67
0.55,0.66,0.65,0.64,0.67
0.55,0.66,0.65,0.65,0.67
0.55,0.66,0.65,0.64,0.66
0.55,0.66,0.65,0.64,0.66
0.55,0.66,0.65,0.64,0.66
0.55,0.66,0.64,0.64,0.66
0.56,0.67,0.65,0.65,0.67
0.55,0.66,0.64,0.64,0.68
0.54,0.64,0.63,0.62,0.67
0.54,0.64,0.63,0.62,0.67
0.54,0.64,0.64,0.63,0.67
0.53,0.62,0.63,0.61,0.66
0.53,0.62,0.63,0.61,0.66
0.52,0.61,0.62,0.6,0.65
0.52,0.61,0.62,0.6,0.65
0.53,0.62,0.64,0.62,0.66
0.53,0.62,0.64,0.62,0.66
0.53,0.62,0.64,0.62,0.67
0.53,0.62,0.64,0.62,0.67
0.53,0.62,0.63,0.62,0.67
0.53,0.62,0.63,0.62,0.67
0.53,0.62,0.64,0.62,0.68
0.52,0.61,0.62,0.61,0.67
0.52,0.61,0.62,0.6,0.68
0.53,0.62,0.64,0.61,0.69
0.54,0.64,0.65,0.63,0.69
0.54,0.64,0.65,0.63,0.69
0.54,0.64,0.65,0.63,0.69
0.54,0.64,0.65,0.63,0.69
0.55,0.66,0.66,0.65,0.7
0.56,0.67,0.68,0.67,0.7
0.55,0.66,0.66,0.65,0.7
0.55,0.66,0.66,0.65,0.7
0.55,0.66,0.66,0.65,0.71
0.55,0.66,0.67,0.66,0.71
0.56,0.67,0.69,0.68,0.72
0.56,0.67,0.69,0.68,0.72
0.56,0.67,0.69,0.68,0.72
0.55,0.66,0.67,0.66,0.71
0.54,0.64,0.67,0.66,0.71
0.55,0.66,0.69,0.67,0.7
0.55,0.66,0.7,0.68,0.7
0.55,0.66,0.7,0.68,0.7
0.55,0.66,0.7,0.68,0.71
0.55,0.66,0.7,0.68,0.71
0.55,0.66,0.7,0.68,0.71
0.55,0.66,0.7,0.68,0.7
0.55,0.66,0.69,0.68,0.71
0.56,0.67,0.7,0.69,0.71
0.55,0.66,0.69,0.68,0.71
0.55,0.66,0.69,0.69,0.71
0.56,0.67,0.71,0.71,0.72
0.57,0.69,0.73,0.72,0.71
0.57,0.69,0.72,0.71,0.71
0.58,0.71,0.73,0.72,0.71
0.58,0.71,0.73,0.72,0.71
0.59,0.72,0.74,0.73,0.72
0.59,0.72,0.74,0.73,0.72
0.59,0.72,0.74,0.73,0.72
0.58,0.71,0.72,0.7,0.71
0.58,0.71,0.72,0.71,0.71
0.58,0.71,0.73,0.71,0.71
0.58,0.71,0.71,0.71,0.71
0.59,0.72,0.73,0.71,0.71
0.58,0.71,0.71,0.7,0.71
0.58,0.71,0.71,0.7,0.71
0.59,0.72,0.73,0.72,0.72
0.6,0.74,0.74,0.74,0.73
0.6,0.74,0.75,0.74,0.73
0.6,0.74,0.75,0.74,0.73
0.61,0.76,0.76,0.76,0.74
0.61,0.76,0.76,0.76,0.74
0.61,0.76,0.76,0.76,0.74
0.62,0.77,0.78,0.76,0.73
0.63,0.79,0.78,0.77,0.73
0.64,0.81,0.8,0.8,0.74
0.63,0.79,0.78,0.78,0.73
0.63,0.79,0.78,0.78,0.73
0.62,0.77,0.77,0.76,0.73
0.63,0.79,0.78,0.78,0.74
0.63,0.79,0.79,0.79,0.75
0.63,0.79,0.79,0.79,0.75
0.63,0.79,0.79,0.79,0.76
0.64,0.81,0.81,0.8,0.77
0.63,0.79,0.79,0.79,0.76
0.62,0.77,0.78,0.78,0.76
0.61,0.76,0.77,0.76,0.75
0.61,0.76,0.77,0.77,0.75
0.61,0.76,0.78,0.77,0.75
0.61,0.76,0.78,0.78,0.76
0.6,0.74,0.78,0.76,0.75
0.61,0.76,0.79,0.78,0.76
0.62,0.77,0.81,0.79,0.76
0.62,0.77,0.81,0.79,0.76
0.62,0.77,0.8,0.78,0.75
0.61,0.76,0.78,0.76,0.74
0.61,0.76,0.79,0.77,0.74
0.61,0.76,0.78,0.76,0.73
0.62,0.77,0.8,0.78,0.74
0.61,0.76,0.8,0.77,0.74
0.61,0.76,0.8,0.77,0.74
0.61,0.76,0.8,0.77,0.74
0.62,0.77,0.81,0.78,0.75
0.62,0.77,0.81,0.78,0.75
0.61,0.76,0.79,0.77,0.74
0.62,0.77,0.81,0.78,0.74
0.62,0.77,0.82,0.79,0.74
0.61,0.76,0.81,0.77,0.73
0.62,0.77,0.82,0.79,0.73
0.63,0.79,0.83,0.8,0.74
0.63,0.79,0.83,0.8,0.74
0.63,0.79,0.83,0.8,0.74
0.63,0.79,0.83,0.8,0.75
0.62,0.77,0.82,0.8,0.75
0.63,0.79,0.82,0.8,0.76
0.63,0.79,0.82,0.8,0.75
0.62,0.77,0.81,0.79,0.74
0.63,0.79,0.83,0.8,0.75
0.63,0.79,0.82,0.8,0.75
0.62,0.77,0.81,0.78,0.74
0.62,0.77,0.81,0.78,0.74
0.62,0.77,0.81,0.78,0.74
0.62,0.77,0.8,0.78,0.74
0.62,0.77,0.8,0.78,0.74
0.63,0.79,0.82,0.8,0.74
0.63,0.79,0.82,0.8,0.74
0.63,0.79,0.82,0.8,0.74
0.62,0.77,0.8,0.78,0.73
0.62,0.77,0.8,0.78,0.73
0.61,0.76,0.79,0.76,0.72
0.61,0.76,0.79,0.76,0.72
0.6,0.74,0.77,0.74,0.71
0.6,0.74,0.77,0.74,0.7
0.6,0.74,0.77,0.75,0.7
0.6,0.74,0.78,0.75,0.7
0.61,0.76,0.78,0.75,0.7
0.61,0.76,0.78,0.75,0.7
0.61,0.76,0.78,0.75,0.7
0.61,0.76,0.78,0.75,0.7
0.62,0.77,0.79,0.77,0.71
0.63,0.79,0.81,0.78,0.71
0.62,0.77,0.79,0.76,0.71
0.62,0.77,0.79,0.76,0.71
0.62,0.77,0.79,0.76,0.71
0.62,0.77,0.78,0.75,0.7
0.63,0.79,0.8,0.77,0.7
0.62,0.77,0.78,0.76,0.7
0.63,0.79,0.8,0.78,0.71
0.63,0.79,0.8,0.77,0.7
0.63,0.79,0.8,0.77,0.7
0.63,0.79,0.8,0.77,0.7
0.64,0.81,0.81,0.78,0.7
0.64,0.81,0.81,0.78,0.7
0.63,0.79,0.79,0.76,0.71
0.63,0.79,0.79,0.76,0.71
0.63,0.79,0.79,0.77,0.71
0.64,0.81,0.81,0.78,0.71
0.63,0.79,0.79,0.77,0.71
0.62,0.77,0.79,0.76,0.71
0.62,0.77,0.79,0.76,0.71
0.62,0.77,0.8,0.76,0.71
0.62,0.77,0.8,0.77,0.71
0.62,0.77,0.8,0.77,0.71
0.61,0.76,0.78,0.76,0.71
0.6,0.74,0.77,0.75,0.71
0.6,0.74,0.77,0.75,0.7
0.6,0.74,0.76,0.74,0.7
0.6,0.74,0.76,0.74,0.7
0.59,0.72,0.75,0.72,0.69
0.58,0.71,0.74,0.71,0.68
0.58,0.71,0.74,0.71,0.68
0.58,0.71,0.74,0.71,0.68
0.58,0.71,0.74,0.71,0.68
0.57,0.69,0.74,0.7,0.68
0.56,0.67,0.73,0.7,0.68
0.56,0.67,0.73,0.69,0.68
0.55,0.66,0.72,0.68,0.68
0.55,0.66,0.72,0.68,0.68
0.54,0.64,0.7,0.67,0.67
0.54,0.64,0.69,0.66,0.67
0.53,0.62,0.67,0.65,0.66
0.54,0.64,0.67,0.65,0.66
0.54,0.64,0.67,0.65,0.66
0.53,0.62,0.67,0.64,0.65
0.53,0.62,0.67,0.64,0.65
0.54,0.64,0.67,0.65,0.66
0.55,0.66,0.69,0.66,0.65
0.55,0.66,0.69,0.66,0.65
0.55,0.66,0.69,0.66,0.64
0.54,0.64,0.67,0.64,0.63
0.54,0.64,0.67,0.64,0.62
0.54,0.64,0.68,0.65,0.63
0.53,0.62,0.66,0.63,0.62
0.53,0.62,0.66,0.63,0.62
0.54,0.64,0.68,0.65,0.63
0.55,0.66,0.69,0.66,0.64
0.55,0.66,0.69,0.66,0.65
0.54,0.64,0.67,0.64,0.65
0.54,0.64,0.67,0.64,0.66
0.53,0.62,0.65,0.62,0.65
0.53,0.62,0.65,0.62,0.65
0.53,0.62,0.65,0.62,0.65
0.53,0.62,0.65,0.62,0.65
0.52,0.61,0.64,0.61,0.65
0.52,0.61,0.64,0.61,0.66
0.52,0.61,0.63,0.6,0.66
0.52,0.61,0.63,0.6,0.66
0.51,0.59,0.61,0.59,0.66
0.52,0.61,0.63,0.6,0.67
0.51,0.59,0.63,0.6,0.67
0.51,0.59,0.63,0.6,0.67
0.51,0.59,0.63,0.6,0.67
0.5,0.57,0.61,0.58,0.66
0.5,0.57,0.61,0.58,0.66
0.51,0.59,0.61,0.6,0.66
0.51,0.59,0.61,0.6,0.66
0.51,0.59,0.61,0.6,0.67
0.51,0.59,0.61,0.6,0.68
0.5,0.57,0.59,0.58,0.68
0.5,0.57,0.6,0.58,0.68
0.51,0.59,0.61,0.6,0.69
0.51,0.59,0.62,0.6,0.69
0.51,0.59,0.62,0.6,0.69
0.5,0.57,0.61,0.59,0.69
0.5,0.57,0.61,0.59,0.69
0.5,0.57,0.61,0.59,0.69
0.5,0.57,0.61,0.59,0.69
0.5,0.57,0.61,0.59,0.69
0.51,0.59,0.62,0.6,0.7
0.51,0.59,0.62,0.6,0.7
0.51,0.59,0.62,0.6,0.7
0.5,0.57,0.6,0.58,0.69
0.5,0.57,0.6,0.59,0.69
0.51,0.59,0.61,0.6,0.7
0.52,0.61,0.63,0.61,0.71
0.51,0.59,0.61,0.6,0.71
0.51,0.59,0.63,0.61,0.71
0.5,0.57,0.6,0.59,0.7
0.5,0.56,0.59,0.58,0.69
0.5,0.56,0.59,0.57,0.69
0.5,0.56,0.58,0.57,0.69
0.5,0.56,0.59,0.57,0.69
0.5,0.56,0.59,0.58,0.69
0.5,0.56,0.59,0.58,0.68
0.49,0.54,0.58,0.56,0.67
0.49,0.54,0.59,0.57,0.68
0.48,0.53,0.57,0.56,0.67
0.49,0.54,0.58,0.56,0.67
0.49,0.54,0.57,0.56,0.67
0.49,0.54,0.57,0.56,0.68
0.48,0.53,0.55,0.54,0.67
0.49,0.54,0.56,0.55,0.67
0.48,0.53,0.54,0.54,0.66
0.48,0.53,0.55,0.54,0.66
0.48,0.53,0.55,0.54,0.66
0.47,0.51,0.54,0.53,0.65
0.47,0.51,0.53,0.52,0.65
0.47,0.51,0.53,0.52,0.65
0.47,0.51,0.53,0.52,0.65
0.48,0.53,0.53,0.53,0.65
0.48,0.53,0.53,0.53,0.65
0.49,0.54,0.55,0.54,0.66
0.49,0.54,0.55,0.54,0.66
0.48,0.53,0.53,0.52,0.66
0.49,0.54,0.55,0.54,0.66
0.49,0.54,0.55,0.54,0.66
0.5,0.56,0.57,0.55,0.67
0.5,0.56,0.57,0.56,0.66
0.5,0.56,0.57,0.55,0.66
0.5,0.56,0.57,0.55,0.66
0.5,0.56,0.56,0.55,0.66
0.49,0.54,0.54,0.53,0.66
0.48,0.53,0.53,0.51,0.65
0.48,0.53,0.53,0.52,0.65
0.49,0.54,0.54,0.53,0.65
0.5,0.56,0.54,0.54,0.65
0.5,0.56,0.55,0.54,0.65
0.5,0.57,0.56,0.55,0.65
0.5,0.57,0.56,0.55,0.65
0.51,0.59,0.58,0.56,0.66
0.52,0.61,0.59,0.58,0.67
0.52,0.61,0.59,0.58,0.68
0.52,0.61,0.59,0.58,0.68
0.51,0.59,0.57,0.56,0.68
0.51,0.59,0.56,0.56,0.69
0.5,0.57,0.54,0.54,0.69
0.5,0.57,0.54,0.54,0.69
0.5,0.56,0.53,0.53,0.7
0.5,0.56,0.53,0.53,0.7
0.5,0.56,0.53,0.53,0.7
0.5,0.56,0.53,0.53,0.71
0.5,0.56,0.53,0.53,0.71
0.5,0.56,0.53,0.52,0.7
0.5,0.56,0.53,0.52,0.7
0.5,0.56,0.53,0.52,0.7
0.49,0.54,0.51,0.5,0.7
0.49,0.54,0.51,0.5,0.7
0.49,0.54,0.51,0.5,0.69
0.49,0.54,0.51,0.5,0.69
0.49,0.54,0.51,0.5,0.69
0.5,0.56,0.53,0.52,0.7
0.5,0.57,0.54,0.53,0.7
0.5,0.56,0.53,0.52,0.69
0.5,0.56,0.53,0.52,0.69
0.5,0.57,0.53,0.53,0.69
0.5,0.57,0.54,0.54,0.69
0.51,0.59,0.56,0.55,0.7
0.5,0.57,0.54,0.53,0.7
0.51,0.59,0.56,0.54,0.7
0.5,0.57,0.54,0.53,0.69
0.51,0.59,0.54,0.54,0.69
0.5,0.57,0.54,0.52,0.68
0.5,0.57,0.54,0.51,0.68
0.5,0.57,0.54,0.51,0.68
0.51,0.59,0.56,0.53,0.68
0.51,0.59,0.55,0.52,0.67
0.51,0.59,0.56,0.53,0.67
0.51,0.59,0.56,0.54,0.67
0.51,0.59,0.56,0.54,0.67
0.52,0.61,0.58,0.56,0.67
0.53,0.62,0.59,0.57,0.67
0.53,0.62,0.59,0.57,0.67
0.52,0.61,0.58,0.56,0.66
0.51,0.59,0.57,0.54,0.66
0.52,0.61,0.58,0.56,0.66
0.52,0.61,0.58,0.56,0.66
0.52,0.61,0.58,0.56,0.66
0.51,0.59,0.57,0.55,0.66
0.51,0.59,0.57,0.55,0.66
0.5,0.57,0.56,0.54,0.65
0.5,0.57,0.56,0.54,0.65
0.5,0.57,0.56,0.54,0.65
0.51,0.59,0.57,0.55,0.65
0.51,0.59,0.58,0.56,0.66
0.5,0.57,0.56,0.54,0.65
0.5,0.56,0.54,0.53,0.64
0.5,0.57,0.55,0.54,0.64
0.5,0.56,0.53,0.51,0.63
0.5,0.56,0.53,0.51,0.63
0.5,0.56,0.53,0.51,0.64
0.5,0.56,0.53,0.52,0.64
0.49,0.54,0.52,0.51,0.63
0.48,0.53,0.5,0.49,0.62
0.49,0.54,0.52,0.51,0.63
0.49,0.54,0.52,0.51,0.64
0.5,0.56,0.54,0.53,0.65
0.5,0.56,0.54,0.53,0.65
0.5,0.56,0.54,0.53,0.66
0.49,0.54,0.54,0.53,0.66
0.49,0.54,0.54,0.53,0.66
0.49,0.54,0.54,0.53,0.65
0.5,0.56,0.56,0.54,0.66
0.5,0.56,0.56,0.55,0.66
0.5,0.57,0.58,0.56,0.67
0.5,0.57,0.58,0.56,0.67
0.51,0.59,0.59,0.58,0.67
0.52,0.61,0.61,0.59,0.68
0.52,0.61,0.6,0.59,0.68
0.52,0.61,0.6,0.59,0.68
0.52,0.61,0.6,0.59,0.67
0.51,0.59,0.59,0.58,0.67
0.51,0.59,0.59,0.58,0.67
0.51,0.59,0.59,0.57,0.67
0.51,0.59,0.59,0.58,0.67
0.52,0.61,0.61,0.6,0.67
0.52,0.61,0.61,0.6,0.67
0.52,0.61,0.61,0.6,0.67
0.51,0.59,0.59,0.58,0.66
0.51,0.59,0.6,0.58,0.67
0.51,0.59,0.6,0.59,0.67
0.52,0.61,0.62,0.61,0.68
0.53,0.62,0.64,0.63,0.69
0.54,0.64,0.66,0.64,0.69
0.55,0.66,0.67,0.66,0.7
0.54,0.64,0.66,0.64,0.69
0.53,0.62,0.64,0.63,0.68
0.53,0.62,0.65,0.63,0.69
0.52,0.61,0.63,0.62,0.68
0.52,0.61,0.63,0.62,0.68
0.53,0.62,0.65,0.63,0.69
0.53,0.62,0.65,0.63,0.69
0.52,0.61,0.63,0.62,0.68
0.53,0.62,0.65,0.64,0.68
0.53,0.62,0.67,0.65,0.68
0.54,0.64,0.68,0.66,0.68
0.55,0.66,0.69,0.67,0.68
0.55,0.66,0.69,0.67,0.68
0.55,0.66,0.71,0.68,0.68
0.55,0.66,0.71,0.69,0.67
0.56,0.67,0.73,0.7,0.68
0.56,0.67,0.73,0.71,0.69
0.56,0.67,0.72,0.7,0.69
0.56,0.67,0.72,0.7,0.69
0.57,0.69,0.74,0.72,0.7
0.58,0.71,0.76,0.74,0.71
0.57,0.69,0.75,0.72,0.71
0.58,0.71,0.76,0.73,0.71
0.58,0.71,0.77,0.74,0.71
0.59,0.72,0.78,0.75,0.72
0.6,0.74,0.8,0.77,0.72
0.6,0.74,0.8,0.77,0.72
0.6,0.74,0.8,0.77,0.72
0.6,0.74,0.8,0.77,0.73
0.6,0.74,0.8,0.77,0.74
0.59,0.72,0.79,0.76,0.74
0.58,0.71,0.78,0.75,0.74
0.58,0.71,0.78,0.75,0.73
0.58,0.71,0.78,0.75,0.73
0.59,0.72,0.79,0.76,0.72
0.59,0.72,0.79,0.76,0.72
0.6,0.74,0.82,0.78,0.73
0.6,0.74,0.82,0.79,0.73
0.6,0.74,0.82,0.79,0.73
0.59,0.72,0.82,0.78,0.73
0.6,0.74,0.84,0.8,0.74
0.6,0.74,0.84,0.8,0.74
0.6,0.74,0.84,0.8,0.75
0.59,0.72,0.82,0.78,0.75
0.58,0.71,0.79,0.76,0.74
0.58,0.71,0.79,0.76,0.74
0.57,0.69,0.77,0.74,0.73
0.57,0.69,0.77,0.74,0.73
0.56,0.67,0.77,0.73,0.73
0.56,0.67,0.75,0.73,0.73
0.57,0.69,0.76,0.74,0.73
0.57,0.69,0.76,0.74,0.73
0.57,0.69,0.76,0.74,0.73
0.57,0.69,0.76,0.74,0.73
0.57,0.69,0.75,0.73,0.72
0.57,0.69,0.75,0.73,0.72
0.58,0.71,0.8,0.75,0.73
0.58,0.71,0.8,0.75,0.73
0.59,0.72,0.81,0.76,0.74
0.58,0.71,0.8,0.76,0.75
0.59,0.72,0.81,0.77,0.75
0.6,0.74,0.81,0.78,0.76
0.6,0.74,0.81,0.78,0.76
0.59,0.72,0.79,0.76,0.76
0.6,0.74,0.82,0.78,0.77
0.6,0.74,0.84,0.79,0.78
0.6,0.74,0.84,0.79,0.78
0.6,0.74,0.84,0.79,0.78
0.6,0.74,0.84,0.79,0.79
0.61,0.76,0.84,0.8,0.8
0.61,0.76,0.84,0.8,0.8
0.62,0.77,0.84,0.81,0.8
0.61,0.76,0.83,0.79,0.79
0.6,0.74,0.81,0.78,0.79
0.61,0.76,0.83,0.79,0.79
0.61,0.76,0.81,0.79,0.78
0.61,0.76,0.81,0.78,0.78
0.61,0.76,0.81,0.78,0.78
0.6,0.74,0.79,0.77,0.77
0.6,0.74,0.79,0.77,0.77
0.6,0.74,0.79,0.77,0.77
0.6,0.74,0.79,0.76,0.77
0.6,0.74,0.79,0.77,0.77
0.59,0.72,0.77,0.76,0.77
0.59,0.72,0.77,0.76,0.77
0.59,0.72,0.77,0.76,0.77
0.6,0.74,0.79,0.77,0.78
0.61,0.76,0.81,0.78,0.78
0.6,0.74,0.79,0.77,0.78
0.6,0.74,0.79,0.77,0.78
0.61,0.76,0.79,0.77,0.79
0.61,0.76,0.79,0.77,0.79
0.61,0.76,0.79,0.77,0.79
0.61,0.76,0.79,0.77,0.79
0.62,0.77,0.81,0.78,0.79
0.62,0.77,0.81,0.78,0.79
0.62,0.77,0.81,0.78,0.79
0.62,0.77,0.81,0.78,0.79
0.62,0.77,0.81,0.77,0.79
0.62,0.77,0.81,0.77,0.79
0.62,0.77,0.81,0.77,0.79
0.63,0.79,0.82,0.78,0.8
0.64,0.81,0.84,0.8,0.81
0.64,0.81,0.84,0.8,0.8
0.65,0.82,0.86,0.81,0.81
0.64,0.81,0.84,0.8,0.8
0.63,0.79,0.82,0.79,0.79
0.63,0.79,0.82,0.79,0.79
0.64,0.81,0.84,0.81,0.8
0.63,0.79,0.82,0.8,0.8
0.63,0.79,0.82,0.79,0.8
0.62,0.77,0.81,0.78,0.8
0.61,0.76,0.79,0.76,0.79
0.61,0.76,0.79,0.77,0.78
0.6,0.74,0.78,0.76,0.78
0.61,0.76,0.79,0.77,0.78
0.6,0.74,0.77,0.75,0.78
0.6,0.74,0.77,0.75,0.77
0.61,0.76,0.78,0.77,0.77
0.62,0.77,0.8,0.78,0.78
0.62,0.77,0.8,0.79,0.78
0.62,0.77,0.79,0.78,0.78
0.62,0.77,0.8,0.79,0.78
0.62,0.77,0.8,0.79,0.78
0.62,0.77,0.8,0.79,0.78
0.61,0.76,0.78,0.77,0.78
0.6,0.74,0.76,0.75,0.77
0.61,0.76,0.78,0.77,0.77
0.61,0.76,0.78,0.77,0.77
0.6,0.74,0.76,0.75,0.76
0.61,0.76,0.77,0.76,0.76
0.61,0.76,0.77,0.76,0.75
0.62,0.77,0.78,0.77,0.74
0.63,0.79,0.8,0.78,0.75
0.63,0.79,0.8,0.78,0.75
0.63,0.79,0.8,0.78,0.76
0.62,0.77,0.79,0.78,0.76
0.62,0.77,0.79,0.77,0.76
0.62,0.77,0.79,0.77,0.76
0.63,0.79,0.81,0.78,0.77
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.63,0.79,0.8,0.78,0.76
0.63,0.79,0.8,0.78,0.76
0.63,0.79,0.8,0.79,0.76
0.63,0.79,0.8,0.78,0.76
0.64,0.81,0.82,0.8,0.76
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.65,0.82,0.83,0.81,0.77
0.66,0.84,0.85,0.83,0.78
0.65,0.82,0.83,0.81,0.77
0.65,0.82,0.83,0.81,0.77
0.65,0.82,0.83,0.81,0.77
0.64,0.81,0.82,0.79,0.77
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.64,0.81,0.82,0.8,0.77
0.65,0.82,0.82,0.81,0.77
0.65,0.82,0.81,0.8,0.77
0.65,0.82,0.81,0.8,0.76
0.65,0.82,0.81,0.8,0.77
0.65,0.82,0.81,0.8,0.76
0.65,0.82,0.81,0.79,0.76
0.66,0.84,0.82,0.8,0.76
0.66,0.84,0.82,0.79,0.75
0.65,0.82,0.8,0.78,0.74
0.66,0.84,0.81,0.79,0.74
0.65,0.82,0.8,0.78,0.73
0.65,0.82,0.8,0.78,0.73
0.64,0.81,0.78,0.76,0.72
0.65,0.82,0.8,0.78,0.73
0.66,0.84,0.82,0.79,0.73
0.65,0.82,0.8,0.78,0.73
0.65,0.82,0.8,0.78,0.73
0.64,0.81,0.78,0.76,0.72
0.64,0.81,0.79,0.77,0.72
0.64,0.81,0.79,0.77,0.72
0.63,0.79,0.77,0.75,0.71
0.63,0.79,0.76,0.75,0.71
0.63,0.79,0.75,0.74,0.71
0.62,0.77,0.73,0.73,0.7
0.63,0.79,0.75,0.73,0.7
0.63,0.79,0.75,0.73,0.7
0.62,0.77,0.74,0.72,0.69
0.62,0.77,0.74,0.72,0.69
0.62,0.77,0.73,0.72,0.69
0.63,0.79,0.74,0.74,0.69
0.63,0.79,0.74,0.73,0.68
0.62,0.77,0.73,0.72,0.67
0.62,0.77,0.74,0.73,0.67
0.62,0.77,0.72,0.72,0.67
0.62,0.77,0.72,0.72,0.67
0.62,0.77,0.74,0.73,0.68
0.62,0.77,0.74,0.73,0.68
0.62,0.77,0.74,0.74,0.68
0.62,0.77,0.74,0.73,0.68
0.62,0.77,0.74,0.74,0.68
0.62,0.77,0.74,0.74,0.68
0.62,0.77,0.74,0.74,0.68
0.61,0.76,0.72,0.72,0.67
0.61,0.76,0.72,0.72,0.66
0.61,0.76,0.72,0.71,0.66
0.6,0.74,0.71,0.7,0.65
0.6,0.74,0.71,0.7,0.66
0.6,0.74,0.71,0.7,0.67
0.6,0.74,0.71,0.7,0.67
0.6,0.74,0.71,0.7,0.67
0.61,0.76,0.73,0.72,0.67
0.6,0.74,0.71,0.7,0.66
0.61,0.76,0.74,0.72,0.66
0.61,0.76,0.74,0.72,0.67
0.62,0.77,0.76,0.74,0.68
0.63,0.79,0.78,0.75,0.68
0.62,0.77,0.77,0.74,0.69
0.62,0.77,0.77,0.74,0.69
0.62,0.77,0.77,0.74,0.7
0.62,0.77,0.77,0.75,0.7
0.62,0.77,0.77,0.75,0.7
0.62,0.77,0.78,0.75,0.7
0.61,0.76,0.76,0.73,0.69
0.62,0.77,0.79,0.75,0.69
0.62,0.77,0.79,0.75,0.69
0.62,0.77,0.79,0.75,0.69
0.63,0.79,0.81,0.76,0.69
0.64,0.81,0.82,0.78,0.7
0.63,0.79,0.79,0.76,0.69
0.63,0.79,0.8,0.76,0.69
0.64,0.81,0.81,0.77,0.7
0.63,0.79,0.79,0.76,0.7
0.64,0.81,0.81,0.77,0.7
0.64,0.81,0.82,0.77,0.71
0.64,0.81,0.81,0.77,0.71
0.63,0.79,0.79,0.75,0.7
0.63,0.79,0.79,0.75,0.7
0.64,0.81,0.81,0.76,0.7
0.63,0.79,0.79,0.75,0.69
0.63,0.79,0.78,0.75,0.69
0.63,0.79,0.77,0.74,0.69
0.62,0.77,0.76,0.73,0.68
0.62,0.77,0.76,0.73,0.68
0.63,0.79,0.78,0.74,0.68
0.62,0.77,0.76,0.73,0.67
0.62,0.77,0.76,0.73,0.67
0.63,0.79,0.78,0.75,0.68
0.63,0.79,0.78,0.75,0.68
0.64,0.81,0.8,0.76,0.68
0.64,0.81,0.81,0.77,0.68
